,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
153,154,19,Great Company with a great mission. Good compensation with leading benefits,5,Great Company with a great mission. Good compensation with leading benefits,great company with a great mission good compensation with leading benefits,"great, compensation, benefits"
154,155,19,"They have good work/life balance, and good benefits",3,"They have good work/life balance, and good benefits",they have good work life balance and good benefits,benefits
155,156,19,- Central London location - Amazing building - Good perks - Diverse teams - Nice pantry with snacks - Training is very well structured,5,- Central London location - Amazing building - Good perks - Diverse teams - Nice pantry with snacks - Training is very well structured, central london location amazing building good perks diverse teams nice pantry with snacks training is very well structured,snacks
156,157,19,- Culture - Office environment and well equipped pantry - People - multinational full of young and bright minds - A lot of responsibilities and growth opportunity,5,- Culture - Office environment and well equipped pantry - People - multinational full of young and bright minds - A lot of responsibilities and growth opportunity, culture office environment and well equipped pantry people multinational full of young and bright minds a lot of responsibilities and growth opportunity,environment
157,158,19,Lots of perks and pays competitively,4,Lots of perks and pays competitively,lots of perks and pays competitively,
158,159,19,* Great Health Care * Free Snacks * Intelligent/Driven Co-Workers,3,* Great Health Care * Free Snacks * Intelligent/Driven Co-Workers, great health care free snacks intelligent driven co workers,
159,160,19,Loved company culture and diverse group of employees. Great place to work and learn a lot not only about your department but about other departments as well. I learned a lot of valuable skills.,4,Loved company culture and diverse group of employees. Great place to work and learn a lot not only about your department but about other departments as well. I learned a lot of valuable skills.,loved company culture and diverse group of employees great place to work and learn a lot not only about your department but about other departments as well i learned a lot of valuable skills ,"culture, work, place, company"
160,161,20,Challenging and get things done culture,5,Challenging and get things done culture,challenging and get things done culture,culture
161,162,20,Fun atmosphere great discounts awesome pay (if you work hard enough for commission),3,Fun atmosphere great discounts awesome pay (if you work hard enough for commission),fun atmosphere great discounts awesome pay if you work hard enough for commission ,"work, pay, great"
162,163,20,"Brand name, nice office, good compensation",1,"Brand name, nice office, good compensation",brand name nice office good compensation,compensation
163,164,20,"The people, culture, benefits, work hours, access to training, and more. The product we sell and the clients we serve covers a wide array of the financial sector and financial products, with solutions as specific to analyzing very complicated securities all the way to front-to-middle-to-back enterprise offerings. Working with those tools and the clients who use them provides access and insights to the markets inner... workings that would be hard to find anywhere else.",5,"The people, culture, benefits, work hours, access to training, and more. The product we sell and the clients we serve covers a wide array of the financial sector and financial products, with solutions as specific to analyzing very complicated securities all the way to front-to-middle-to-back enterprise offerings. Working with those tools and the clients who use them provides access and insights to the markets inner... workings that would be hard to find anywhere else.",the people culture benefits work hours access to training and more the product we sell and the clients we serve covers a wide array of the financial sector and financial products with solutions as specific to analyzing very complicated securities all the way to front to middle to back enterprise offerings working with those tools and the clients who use them provides access and insights to the markets inner workings that would be hard to find anywhere else ,work
